Study_Hours,Attendance_Percentage,Previous_Exam_Score,Assignment_Completion,Final_Exam_Score
6.6,51.0,70,55.0,56.0
9.0,55.0,89,42.0,66.6
0.8,62.0,88,54.0,50.2
7.7,60.0,89,61.0,68.6
1.5,74.0,47,62.0,44.9
7.4,84.0,50,99.0,64.0
6.4,73.0,59,85.0,57.6
9.9,64.0,47,64.0,61.1
4.0,63.0,69,84.0,61.1
2.1,96.0,66,50.0,51.9
7.0,64.0,76,93.0,71.6
8.1,75.0,69,44.0,62.7
3.5,91.0,98,65.0,72.1
1.8,97.0,68,87.0,57.6
2.6,58.0,100,71.0,57.1
6.5,100.0,89,78.0,72.3
5.5,85.0,36,83.0,55.5
3.0,,78,47.0,55.7
7.4,96.0,68,72.0,73.1
6.4,90.0,99,78.0,75.1
9.6,83.0,35,78.0,61.7
8.8,69.0,65,43.0,62.4
7.5,54.0,51,48.0,55.9
5.5,88.0,89,53.0,73.0
7.3,75.0,82,68.0,74.8
1.1,51.0,64,77.0,41.1
2.7,52.0,77,44.0,49.3
5.6,96.0,95,55.0,75.7
1.4,77.0,80,67.0,52.9
6.7,91.0,47,43.0,55.8
2.9,62.0,92,48.0,56.5
9.3,78.0,47,43.0,63.2
1.4,98.0,65,50.0,49.4
9.1,60.0,83,40.0,75.0
4.8,77.0,97,49.0,64.0
7.5,53.0,75,43.0,57.5
5.5,53.0,100,45.0,68.9
8.7,75.0,50,100.0,71.3
6.4,76.0,75,99.0,67.3
3.0,58.0,73,69.0,50.8
4.9,86.0,47,44.0,51.3
3.8,54.0,66,63.0,48.9
3.4,91.0,36,82.0,51.5
9.4,58.0,68,47.0,70.1
3.2,63.0,78,53.0,55.8
2.9,,46,80.0,42.6
7.8,90.0,68,50.0,70.3
0.6,54.0,54,74.0,34.5
4.6,52.0,74,63.0,59.7
9.0,63.0,66,82.0,65.5
4.4,89.0,54,99.0,63.4
8.2,76.0,38,51.0,58.4
8.1,97.0,66,57.0,66.7
0.9,80.0,63,52.0,48.4
8.1,64.0,63,41.0,62.8
1.2,99.0,70,62.0,54.5
5.6,51.0,49,96.0,58.2
3.0,56.0,90,62.0,59.7
5.4,74.0,59,56.0,51.3
8.2,93.0,60,63.0,67.6
6.4,92.0,50,86.0,66.3
3.6,94.0,72,75.0,57.5
6.9,61.0,73,,64.1
4.6,87.0,76,69.0,62.8
8.0,100.0,56,82.0,65.7
3.7,98.0,65,83.0,58.8
0.9,80.0,44,69.0,39.7
7.1,81.0,86,55.0,67.6
8.7,56.0,89,54.0,68.8
1.0,65.0,50,69.0,36.6
5.8,70.0,91,79.0,73.3
9.1,78.0,55,87.0,72.8
8.5,67.0,97,80.0,76.8
2.7,71.0,75,97.0,58.6
7.1,95.0,62,44.0,63.1
1.1,76.0,84,97.0,60.5
8.9,86.0,83,70.0,72.9
8.6,76.0,63,71.0,65.5
3.7,93.0,86,86.0,64.2
6.4,51.0,85,77.0,66.7
1.8,79.0,58,43.0,42.3
3.7,74.0,70,88.0,63.3
5.0,97.0,41,100.0,56.3
6.7,98.0,38,100.0,59.2
2.8,80.0,49,76.0,53.0
4.0,88.0,49,89.0,58.1
0.7,69.0,83,65.0,55.6
8.4,65.0,48,84.0,64.8
1.7,86.0,40,62.0,42.0
6.7,50.0,88,92.0,69.5
9.0,79.0,54,67.0,63.1
6.4,84.0,96,69.0,74.3
8.6,55.0,70,96.0,69.5
6.8,71.0,38,71.0,57.1
8.1,71.0,70,96.0,72.4
5.4,62.0,45,55.0,50.8
7.1,91.0,97,68.0,81.3
7.1,69.0,82,70.0,69.9
5.7,72.0,93,57.0,66.4
3.5,97.0,58,52.0,51.0
9.8,83.0,71,46.0,76.1
3.4,95.0,51,57.0,46.8
9.5,90.0,97,46.0,86.0
4.7,61.0,41,56.0,49.6
4.3,54.0,41,49.0,38.5
9.9,57.0,88,78.0,79.1
4.1,78.0,73,95.0,63.4
1.1,97.0,47,100.0,51.6
1.3,65.0,57,,40.0
6.1,68.0,39,54.0,47.3
1.2,64.0,68,90.0,52.4
2.4,57.0,63,81.0,45.2
1.1,100.0,74,78.0,58.8
1.7,94.0,73,84.0,56.3
4.7,88.0,40,96.0,53.8
1.4,93.0,37,88.0,45.9
7.7,80.0,91,98.0,77.4
8.2,55.0,95,62.0,72.6
2.0,76.0,98,58.0,62.2
0.8,55.0,75,56.0,43.3
5.4,50.0,94,66.0,60.5
5.2,78.0,41,53.0,47.0
8.9,81.0,50,41.0,66.7
2.0,85.0,36,75.0,41.6
1.6,57.0,54,71.0,46.5
4.4,80.0,95,55.0,66.1
6.2,97.0,52,95.0,60.1
3.7,100.0,99,57.0,73.1
6.1,92.0,97,95.0,75.5
5.7,84.0,83,69.0,72.7
2.8,74.0,64,94.0,57.6
7.2,74.0,84,82.0,75.6
9.7,58.0,99,77.0,79.8
1.4,79.0,36,86.0,37.5
1.2,100.0,68,61.0,53.7
3.6,93.0,83,60.0,64.3
5.6,89.0,43,55.0,54.7
7.6,77.0,47,88.0,63.5
7.1,51.0,40,60.0,53.2
1.9,83.0,87,76.0,61.6
6.3,74.0,65,71.0,66.4
2.9,66.0,36,97.0,47.3
2.0,78.0,79,77.0,54.5
4.8,69.0,60,64.0,58.1
3.9,68.0,72,41.0,58.1
5.9,93.0,41,98.0,60.4
3.2,64.0,80,54.0,56.3
7.3,92.0,52,80.0,60.8
